"gs","D","A","Ca","ID","gBBOpti"
0.512031674,1.210433059,21.72320946,399.3460693,"7-2",0.498428286204006
0.511971041,1.210345937,21.75826965,399.3768921,"7-2",0.498886093357346
0.512006414,1.210180256,21.79290928,399.4130859,"7-2",0.499340936234227
0.511796603,1.210407691,21.89873201,399.5343323,"7-2",0.500659410732971
0.511576843,1.210680608,21.97004823,399.6627197,"7-2",0.50150252107185
0.397570245,1.26584612,34.52477164,1600.029419,"7-2",0.319787645954279
0.397154225,1.265598133,34.5062417,1599.991455,"7-2",0.319736758646273
0.397024058,1.26530044,34.51277487,1600.022095,"7-2",0.319765626892078
0.396404997,1.265815402,34.57596103,1599.984375,"7-2",0.319961539805051
0.395452373,1.266957309,34.56068438,1599.987671,"7-2",0.319874592775307
0.416545385,1.237559389,15.67736392,399.0267029,"7-4",0.415386167199427
0.416634763,1.237408783,15.62606508,398.9333801,"7-4",0.414756755905434
0.416924441,1.237256948,15.72795229,398.9898987,"7-4",0.416101451960926
0.416947846,1.236757961,15.85777144,399.117981,"7-4",0.417802949760121
0.416870887,1.236885252,16.02399063,399.2923584,"7-4",0.419928501765342
0.402596498,1.249298237,25.2461011,1600.10376,"7-4",0.289410242154109
0.402266101,1.24968293,25.40048894,1600.225586,"7-4",0.289908831917456
0.401767865,1.25031254,25.51009628,1600.327148,"7-4",0.290253422300302
0.40132009,1.250037795,25.54864387,1600.375732,"7-4",0.290385695080332
0.401455612,1.248745302,25.48585139,1600.364868,"7-4",0.290207951804866
0.291212755,1.359152107,12.63960888,399.0047913,"7-6",0.369261933832974
0.2915405,1.35875875,12.66626544,399.045105,"7-6",0.369607476174286
0.291926466,1.35817258,12.71762567,399.1039429,"7-6",0.370273843891068
0.292026439,1.358030775,12.78915246,399.1877136,"7-6",0.371172665023233
0.292093362,1.357761556,12.81327085,399.2315674,"7-6",0.371478535447931
0.169982473,1.546935547,20.71429434,1599.897461,"7-6",0.269435290688762
0.168983772,1.547809762,20.88714388,1600.115601,"7-6",0.269948998164783
0.168042584,1.549244494,21.02399637,1600.241943,"7-6",0.27034682349582
0.167247726,1.550094018,21.06158669,1600.300903,"7-6",0.270448584342092
0.165898093,1.552329225,20.86400053,1600.079712,"7-6",0.269815222321176
0.32558713,1.345464733,12.63877,399.7339783,"7-5",0.369525500269082
0.325714965,1.345835946,12.78744601,399.9135437,"7-5",0.371366504938683
0.325797916,1.345312069,12.9205802,400.0751343,"7-5",0.373049929684377
0.325661865,1.345103974,12.96718814,400.1413574,"7-5",0.373636067668389
0.325652354,1.344625238,12.90820698,400.1246948,"7-5",0.372898168157276
0.177578815,1.540244063,20.46316435,1599.463745,"7-5",0.268768374406293
0.177136412,1.541274698,20.5189508,1599.480835,"7-5",0.268926217509566
0.176450003,1.542767042,20.56418827,1599.576172,"7-5",0.269041735931299
