"ID","plot","pot","campaign","type","area","mass","volume","Date","sla","massarea"
"4-1",4,1,5,"Amax",20.25,0.21,"25",2013-05-01,0.00964285714285714,103.703703703704
"4-1",4,1,6,"Amax",17.86,0.21,"25",2013-05-16,0.00850476190476191,117.581187010078
"4-2",4,2,1,"Amax",25.39,0.2,"10",2013-03-07,0.012695,78.7711697518708
"4-2",4,2,2,"Amax",20,0.17,"10",2013-03-22,0.0117647058823529,85
"4-2",4,2,3,"Amax",16.79,0.155,"10",2013-04-08,0.0108322580645161,92.3168552709947
"4-2",4,2,4,"Amax",17.68,0.2,"10",2013-04-17,0.00884,113.122171945701
"4-2",4,2,5,"Amax",9.63,0.1,"10",2013-05-01,0.00963,103.842159916926
"4-2",4,2,6,"Amax",17.235,0.185,"10",2013-05-16,0.00931621621621622,107.339715694807
"4-4",4,4,1,"Amax",20.88,0.15,"35",2013-03-07,0.01392,71.8390804597701
"4-4",4,4,2,"Amax",20.21,0.16,"35",2013-03-22,0.01263125,79.1687283523008
"4-4",4,4,3,"Amax",13.665,0.13,"35",2013-04-08,0.0105115384615385,95.1335528723015
"4-4",4,4,4,"Amax",18.97,0.14,"35",2013-04-17,0.01355,73.8007380073801
"4-4",4,4,5,"Amax",18.27,0.16,"35",2013-05-01,0.01141875,87.5752599890531
"4-4",4,4,6,"Amax",12.505,0.125,"35",2013-05-16,0.010004,99.9600159936026
"4-5",4,5,1,"Amax",20.9,0.18,"5",2013-03-07,0.0116111111111111,86.1244019138756
"4-5",4,5,2,"Amax",19,0.19,"5",2013-03-22,0.01,100
"4-5",4,5,3,"Amax",16.18,0.18,"5",2013-04-08,0.00898888888888889,111.248454882571
"4-5",4,5,4,"Amax",13.62,0.13,"5",2013-04-17,0.0104769230769231,95.4478707782673
"4-5",4,5,5,"Amax",12.14,0.12,"5",2013-05-01,0.0101166666666667,98.8467874794069
"4-5",4,5,6,"Amax",14.57,0.135,"5",2013-05-16,0.0107925925925926,92.656142759094
"4-6",4,6,1,"Amax",30.23,0.17,"15",2013-03-07,0.0177823529411765,56.235527621568
"4-6",4,6,2,"Amax",24.34,0.15,"15",2013-03-22,0.0162266666666667,61.6269515201315
"4-6",4,6,3,"Amax",33.46,0.26,"15",2013-04-08,0.0128692307692308,77.7047220561865
