"ID","starch_mgperg","sugars_mgperg","volume","campaign","Date","starch","sugars","tnc"
"'3-4",48.08823529,83.80660586,"20",6,2013-05-16,0.04808823529,0.08380660586,0.13189484115
"'3-5",153.6579926,58.02228005,"35",1,2013-03-07,0.1536579926,0.05802228005,0.21168027265
"'3-5",94.41176471,67.09780931,"35",2,2013-03-22,0.09441176471,0.06709780931,0.16150957402
"'3-5",40.03278689,67.50283743,"35",4,2013-04-17,0.04003278689,0.06750283743,0.10753562432
"'3-5",140.025,61.61828125,"35",5,2013-05-01,0.140025,0.06161828125,0.20164328125
"'3-5",161.7619048,91.14254894,"35",6,2013-05-16,0.1617619048,0.09114254894,0.25290445374
"'3-6",94.00352113,55.48776995,"10",1,2013-03-07,0.09400352113,0.05548776995,0.14949129108
"'3-6",15.55405405,67.87953276,"10",2,2013-03-22,0.01555405405,0.06787953276,0.08343358681
"'3-6",87.27058835,43.11498235,"10",3,2013-04-08,0.08727058835,0.04311498235,0.1303855707
"'3-6",197.9895105,55.58086131,"10",4,2013-04-17,0.1979895105,0.05558086131,0.25357037181
"'3-6",30.88317757,63.51001168,"10",5,2013-05-01,0.03088317757,0.06351001168,0.09439318925
"'3-6",23.625,87.41852882,"10",6,2013-05-16,0.023625,0.08741852882,0.11104352882
"'3-7",155.1304348,47.09412238,"15",1,2013-03-07,0.1551304348,0.04709412238,0.20222455718
"'3-7",45.95121951,53.01001646,"15",2,2013-03-22,0.04595121951,0.05301001646,0.09896123597
"'3-7",47.71428571,108.4090893,"15",3,2013-04-08,0.04771428571,0.1084090893,0.15612337501
"'3-7",10.04705882,66.15199085,"15",4,2013-04-17,0.01004705882,0.06615199085,0.07619904967
"'3-7",85.60714286,69.89217076,"15",5,2013-05-01,0.08560714286,0.06989217076,0.15549931362
"'3-7",75.9,82.31561957,"15",6,2013-05-16,0.0759,0.08231561957,0.15821561957
"'4-1",12.43700787,88.81444882,"25",1,2013-03-07,0.01243700787,0.08881444882,0.10125145669
"'4-1",7.990909091,48.46656944,"25",2,2013-03-22,0.007990909091,0.04846656944,0.056457478531
"'4-1",58.284,66.370422,"25",3,2013-04-08,0.058284,0.066370422,0.124654422
"'4-1",29.1746988,58.47079384,"25",4,2013-04-17,0.0291746988,0.05847079384,0.08764549264
"'4-1",39.9486166,55.98585968,"25",5,2013-05-01,0.0399486166,0.05598585968,0.09593447628
"'4-1",68.70149254,72.96422803,"25",6,2013-05-16,0.06870149254,0.07296422803,0.14166572057
"'4-2",65.51470588,66.23723039,"10",1,2013-03-07,0.06551470588,0.06623723039,0.13175193627
"'4-2",77.29965157,66.75396864,"10",2,2013-03-22,0.07729965157,0.06675396864,0.14405362021
"'4-2",114.0232559,92.23925,"10",3,2013-04-08,0.1140232559,0.09223925,0.2062625059
"'4-2",79.22619048,73.30271825,"10",4,2013-04-17,0.07922619048,0.07330271825,0.15252890873
"'4-2",95.74468085,61.55105851,"10",5,2013-05-01,0.09574468085,0.06155105851,0.15729573936
"'4-2",33.58441558,97.68569553,"10",6,2013-05-16,0.03358441558,0.09768569553,0.13127011111
"'4-4",81.60211268,88.61570423,"35",1,2013-03-07,0.08160211268,0.08861570423,0.17021781691
"'4-4",94.87966805,76.7877417,"35",2,2013-03-22,0.09487966805,0.0767877417,0.17166740975
"'4-4",102.515625,55.08263672,"35",3,2013-04-08,0.102515625,0.05508263672,0.15759826172
"'4-4",55.53515625,60.7300013,"35",4,2013-04-17,0.05553515625,0.0607300013,0.11626515755
"'4-4",110.125,76.73143519,"35",5,2013-05-01,0.110125,0.07673143519,0.18685643519
"'4-4",122.7524272,94.66583212,"35",6,2013-05-16,0.1227524272,0.09466583212,0.21741825932
"'4-5",230.1954545,66.13862121,"05",1,2013-03-07,0.2301954545,0.06613862121,0.29633407571
"'4-5",150.1897233,70.69936265,"05",2,2013-03-22,0.1501897233,0.07069936265,0.22088908595
"'4-5",159.7976189,72.1846627,"05",3,2013-04-08,0.1597976189,0.0721846627,0.2319822816
"'4-5",99.67241379,71.3376954,"05",4,2013-04-17,0.09967241379,0.0713376954,0.17101010919
"'4-5",67.95067265,64.96578818,"05",5,2013-05-01,0.06795067265,0.06496578818,0.13291646083
"'4-5",31.90178571,104.669298,"05",6,2013-05-16,0.03190178571,0.104669298,0.13657108371
"'4-6",9.881040892,55.69992565,"15",1,2013-03-07,0.009881040892,0.05569992565,0.065580966542
"'4-6",24.00000011,72.19095018,"15",3,2013-04-08,0.02400000011,0.07219095018,0.09619095029
"'4-6",17.61538462,72.53360073,"15",4,2013-04-17,0.01761538462,0.07253360073,0.09014898535
"'4-6",36.3546798,97.32892693,"15",6,2013-05-16,0.0363546798,0.09732892693,0.13368360673
"'4-7",126.7468354,60.85461322,"20",1,2013-03-07,0.1267468354,0.06085461322,0.18760144862
"'4-7",135.8953488,56.5787345,"20",2,2013-03-22,0.1358953488,0.0565787345,0.1924740833
"'4-7",147.1648352,104.2051877,"20",3,2013-04-08,0.1471648352,0.1042051877,0.2513700229
"'4-7",130.5977011,79.10583525,"20",4,2013-04-17,0.1305977011,0.07910583525,0.20970353635
"'4-7",62.12376238,67.4602599,"20",5,2013-05-01,0.06212376238,0.0674602599,0.12958402228
"'4-7",51.50704225,82.27112285,"20",6,2013-05-16,0.05150704225,0.08227112285,0.1337781651
"'4-8",11.05154639,74.96127148,"free",1,2013-03-07,0.01105154639,0.07496127148,0.08601281787
"'4-8",5.91588785,42.36673705,"free",2,2013-03-22,0.00591588785,0.04236673705,0.0482826249
"'4-8",112.232558,73.74785368,"free",3,2013-04-08,0.112232558,0.07374785368,0.18598041168
"'4-8",84.328125,56.93066016,"free",4,2013-04-17,0.084328125,0.05693066016,0.14125878516
"'4-8",107.9853659,64.28828049,"free",5,2013-05-01,0.1079853659,0.06428828049,0.17227364639
"'4-8",134.5656109,66.11068967,"free",6,2013-05-16,0.1345656109,0.06611068967,0.20067630057
"'5-2",124.7563636,71.41281212,"25",1,2013-03-07,0.1247563636,0.07141281212,0.19616917572
"'5-2",90.13636364,79.12520485,"25",2,2013-03-22,0.09013636364,0.07912520485,0.16926156849
"'5-2",59.56809339,103.4550097,"25",3,2013-04-08,0.05956809339,0.1034550097,0.16302310309
"'5-2",68.33333333,75.37927842,"25",4,2013-04-17,0.06833333333,0.07537927842,0.14371261175
