"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"108",4,6,"4-6",6,0.22,15,2013-05-17,-0.331524513,0.00668587,477.6794218,12.69710121,22.46,0.041194564,-1.50692960454545
"109",4,6,"4-6",6,0.22,15,2013-05-17,-0.332359372,0.006666027,478.1135392,12.69714059,22.46,0.041079064,-1.51072441818182
"110",4,7,"4-7",6,0.095,20,2013-05-17,-0.131738293,0.022405517,406.5569502,12.24143264,28.21,0.115542227,-1.38671887368421
"111",4,7,"4-7",6,0.095,20,2013-05-17,-0.133543105,0.022419346,406.6926627,12.24026004,28.21,0.11558963,-1.40571689473684
"112",4,7,"4-7",6,0.095,20,2013-05-17,-0.133836712,0.022395119,406.7312038,12.23766623,28.21,0.115440534,-1.40880749473684
"113",4,7,"4-7",6,0.095,20,2013-05-17,-0.137684923,0.022401471,406.988841,12.23570438,28.21,0.115444743,-1.44931497894737
"114",4,7,"4-7",6,0.095,20,2013-05-17,-0.139125593,0.022410808,407.1003776,12.23438188,28.21,0.115463807,-1.46447992631579
"115",4,8,"4-8",6,0.38,1000,2013-05-17,-1.086305266,0.023846256,473.0327153,12.46117352,10.92,0.138829635,-2.85869806842105
"116",4,8,"4-8",6,0.38,1000,2013-05-17,-1.075781551,0.023813106,472.4074019,12.46038593,10.92,0.138646388,-2.83100408157895
"117",4,8,"4-8",6,0.38,1000,2013-05-17,-1.076141486,0.023873059,472.2630084,12.4603348,10.92,0.138965788,-2.83195127894737
"118",4,8,"4-8",6,0.38,1000,2013-05-17,-1.082975613,0.023837777,472.8302756,12.45924454,10.92,0.138748361,-2.84993582368421
"119",4,8,"4-8",6,0.38,1000,2013-05-17,-1.093962317,0.023879109,473.4414665,12.45790214,10.92,0.138955258,-2.87884820263158
"120",5,2,"5-2",6,0.16,25,2013-05-17,-0.251677708,0.021042572,416.491885,12.15054993,16.74,0.117241361,-1.572985675
"121",5,2,"5-2",6,0.16,25,2013-05-17,-0.25121008,0.021066456,416.4365547,12.15176773,16.74,0.117396159,-1.570063
"122",5,2,"5-2",6,0.16,25,2013-05-17,-0.252429103,0.021043927,416.5570952,12.15078073,16.74,0.117259741,-1.57768189375
"123",5,2,"5-2",6,0.16,25,2013-05-17,-0.255540517,0.021038052,416.8116516,12.14882369,16.74,0.117203207,-1.59712823125
"124",5,2,"5-2",6,0.16,25,2013-05-17,-0.25789549,0.021078147,416.9671154,12.14734957,16.74,0.11738453,-1.6118468125
"125",5,3,"5-3",6,0.145,10,2013-05-17,-0.334120353,-0.004106987,267.8998354,12.50060306,9.88,-0.026820379,-2.30427829655172
"126",5,3,"5-3",6,0.145,10,2013-05-17,-0.336614667,-0.0040999,266.7096299,12.49902964,9.88,-0.026767675,-2.32148046206897
"127",5,3,"5-3",6,0.145,10,2013-05-17,-0.337143031,-0.004072208,265.605638,12.49641156,9.88,-0.026575785,-2.32512435172414
"128",5,3,"5-3",6,0.145,10,2013-05-17,-0.334610435,-0.004063238,266.315061,12.49452074,9.88,-0.026506709,-2.30765817241379
"129",5,3,"5-3",6,0.145,10,2013-05-17,-0.323662794,-0.004119002,272.2997649,12.49224268,9.88,-0.026864484,-2.2321572
"130",5,4,"5-4",6,0.27,15,2013-05-17,-0.336093991,0.012553263,441.4368039,12.6686885,22.4,0.075660878,-1.24479255925926
"131",5,4,"5-4",6,0.27,15,2013-05-17,-0.339522091,0.012584232,441.7846514,12.66682685,22.4,0.075814455,-1.25748922592593
"132",5,4,"5-4",6,0.27,15,2013-05-17,-0.340401107,0.012604255,441.8348388,12.66528498,22.4,0.075913154,-1.26074484074074
"133",5,4,"5-4",6,0.27,15,2013-05-17,-0.336107365,0.012626747,441.2280833,12.66398322,22.4,0.076025402,-1.24484209259259
"134",5,4,"5-4",6,0.27,15,2013-05-17,-0.338289494,0.012646188,441.4525712,12.66229602,22.4,0.076116011,-1.25292405185185
"135",5,5,"5-5",6,0.115,20,2013-05-17,-0.374564913,0.038039316,412.8652998,11.82710975,7.96,0.205267656,-3.2570862
"136",5,5,"5-5",6,0.115,20,2013-05-17,-0.377011733,0.03805915,412.9584711,11.8235053,7.96,0.20526679,-3.27836289565217
"137",5,5,"5-5",6,0.115,20,2013-05-17,-0.373355699,0.038080005,412.7919487,11.81968907,7.96,0.205241129,-3.24657129565217
"138",5,5,"5-5",6,0.115,20,2013-05-17,-0.37554305,0.038031588,412.8818852,11.83323063,7.96,0.205524949,-3.26559173913043
"139",5,5,"5-5",6,0.115,20,2013-05-17,-0.378897947,0.037891153,413.0680858,11.83024486,7.96,0.204756275,-3.29476475652174
"140",5,6,"5-6",6,0.36,1000,2013-05-17,-0.345798225,0.041367796,412.8795738,12.31596363,29.28,0.19011914,-0.960550625
"141",5,6,"5-6",6,0.36,1000,2013-05-17,-0.343952274,0.041400982,412.8272941,12.31424643,29.28,0.19017202,-0.955422983333333
