"plant_id","M","totPARleaf","volume"
"23nd",0.833249493516165,66.0279486252193,"20"
"20d",0.854040279220422,36.9710132353437,"20"
"19d",0.818711273626624,48.1421600151189,"20"
"22nd",0.743044311169062,88.5222602651054,"20"
"43d",0.819609690244334,42.7777002378526,"20"
"24nd",0.777381971338931,78.7877019765899,"20"
"31d",0.877746842859817,17.2260267937763,"20"
"32d",0.836797520920934,40.8441768921439,"20"
"34nd",0.81810028119081,55.0542044418968,"20"
"esalroomot50",0.847084081482336,10.1998769689868,"20"
"Esal-ch7-tree37",0.79238810106787,22.4273581881814,"20"
"esalroomot41",0.870991317054357,8.75654355359907,"20"
"esal-ch2-tree48",0.784065456571304,16.2249303590275,"20"
"esalroomot392",0.857291314383472,10.0245336358395,"20"
"esal-ch10-tree1S",0.837249718191831,9.57556202817996,"20"
"esalroomot591",0.872161869589169,16.5144028517766,"20"
"esalroomot131",0.855899838944263,7.99317151885702,"20"
"esalroomot151",0.869214363730781,8.92435424101491,"20"
"esal-ref",0.788822317621213,15.5790280843823,"20"
"esalroomot588_fix",0.840613287957294,14.7287299689515,"20"
"Esal-ch12-tree46_fix",0.842046584920653,5.25157436913905,"20"
"esalroomot360",0.851277328603537,16.2685822344829,"20"
"Esal-ch1-tree54",0.775610675683826,12.4516721208952,"20"
"esalroomot251",0.842931181930812,10.5685668776875,"20"
"esalroomot460",0.832657515899983,11.4818253961586,"20"
"esalroomot259",0.848084010334553,11.9126406122117,"20"
"esalroomot449",0.787902054312017,13.655638597921,"20"
"Ambtr1",0.774074867670287,34.5663647395618,"20"
"Eletr5",0.817141213743637,47.0497799714074,"20"
"Eletr4",0.840457206100897,54.0584783275011,"20"
"Ambtr2",0.798231002542506,40.1773529784835,"20"
"Eletr8",0.777846362489601,38.8082595070983,"20"
"Eletr1",0.763930123845623,67.5239699378583,"20"
"Eletr2",0.764061880089906,55.8220726700182,"20"
"Eletr3",0.765238738561831,48.0694862907612,"20"
"Ambtr3",0.77708721718518,29.7890998193905,"20"
"Eletr6",0.785180348648197,24.6250732946414,"20"
"Eletr7",0.79999583115039,67.122145748471,"20"
"Ambtr4",0.792019788322023,32.4976420119938,"20"
"euchae3",0.892329569870961,2.5057914201716,"25"
"euchae1",0.907891513119157,0.58212289833256,"25"
"euchae2",0.880106353540999,5.53864249342375,"25"
"euchaeR90",0.911548069571312,3.07034993698251,"25"
"euchaeR50",0.907416113960102,1.46614593440656,"25"
"euchaeR70",0.896792278207068,3.14540420165441,"25"
"euchaeR91",0.895459440512587,2.10233546122769,"25"
"euchaeR71",0.883228853995012,1.72290735559345,"25"
"10nd",0.807517234129341,75.5158170343276,"25"
"11nd",0.759684464758407,78.8790160467403,"25"
"12nd",0.80833530391743,59.1300736409169,"25"
"7d",0.849482034048027,44.9520826384261,"25"
"33d",0.827252206148468,38.0004556889878,"25"
"8d",0.783876458812821,54.1440361069408,"25"
"35nd",0.828000022844074,57.1011360524219,"25"
"36nd",0.854667666129335,32.268785357824,"25"
"46nd",0.806440973462256,53.6518588570418,"25"
"9d",0.855206521804469,38.8780442654048,"25"
"44d",0.881188875335257,29.7365910896522,"25"
"45d",0.884679521363107,26.4923532516618,"25"
"21d",0.829045713421184,42.1958065129425,"25"
"47nd",0.832626456705354,63.618871312446,"25"
"23nd",0.845777385994524,66.0279486252193,"25"
"20d",0.866055836553531,36.9710132353437,"25"
"19d",0.831372262455259,48.1421600151189,"25"
"22nd",0.756219714773735,88.5222602651054,"25"
"43d",0.832501820195754,42.7777002378526,"25"
"24nd",0.790808410967293,78.7877019765899,"25"
"31d",0.887747513182016,17.2260267937763,"25"
"32d",0.849114136137365,40.8441768921439,"25"
"34nd",0.830455608779128,55.0542044418968,"25"
"esalroomot50",0.856362792742,10.1998769689868,"25"
"Esal-ch7-tree37",0.802616166761562,22.4273581881814,"25"
"esalroomot41",0.880353539767027,8.75654355359907,"25"
"esal-ch2-tree48",0.794088092618855,16.2249303590275,"25"
"esalroomot392",0.867084199849924,10.0245336358395,"25"
"esal-ch10-tree1S",0.847615858772056,9.57556202817996,"25"
"esalroomot591",0.883702170994182,16.5144028517766,"25"
"esalroomot131",0.866375734449536,7.99317151885702,"25"
"esalroomot151",0.87932075562172,8.92435424101491,"25"
"esal-ref",0.798764800351842,15.5790280843823,"25"
"esalroomot588_fix",0.851138357996921,14.7287299689515,"25"
"Esal-ch12-tree46_fix",0.851652165051834,5.25157436913905,"25"
"esalroomot360",0.863383662587737,16.2685822344829,"25"
"Esal-ch1-tree54",0.785790464785677,12.4516721208952,"25"
"esalroomot251",0.852794417621779,10.5685668776875,"25"
"esalroomot460",0.844448861677383,11.4818253961586,"25"
"esalroomot259",0.859939866453355,11.9126406122117,"25"
"esalroomot449",0.799354770652014,13.655638597921,"25"
"Ambtr1",0.786248012622716,34.5663647395618,"25"
"Eletr5",0.830852232198015,47.0497799714074,"25"
