Date,Unit,OPENversion,Comment,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,PhotRange,CondRange,CO2RRange,Nlogs
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:24:42 plot3-2",31,"\"09:26:02\"",1959,0,22.5,0.744,308,4.02,0.672,25.54,6,1.42,1,2.84,24.24,25.54,23.45,399.75,370.99,20.998,25.694,70.22,85.92,499.9,1800,939,101.6,0.762,0.107,1,-0.22,2.74,1,0,0.16,111115,0.100000000000001,0.002,0.0500000000000114,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:24:42 plot3-2",32,"\"09:26:03\"",1959.5,0,22.5,0.744,308,4.01,0.672,25.54,6,1.42,1,2.84,24.24,25.54,23.45,399.74,370.97,21.001,25.694,70.22,85.92,499.9,1800,939,101.6,0.762,0.107,1,-0.22,2.74,1,0,0.16,111115,0.100000000000001,0.002,0.0500000000000114,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:24:42 plot3-2",33,"\"09:26:03\"",1960,0,22.5,0.745,308,4.01,0.671,25.53,6,1.42,1,2.84,24.24,25.53,23.45,399.75,370.95,21.003,25.695,70.23,85.92,499.8,1800,939,101.6,0.762,0.107,1,-0.22,2.74,1,0,0.16,111115,0.100000000000001,0.002,0.0500000000000114,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:24:42 plot3-2",34,"\"09:26:04\"",1961,0,22.5,0.746,308,4.01,0.67,25.53,6,1.42,1,2.84,24.24,25.53,23.45,399.78,370.94,21.007,25.7,70.25,85.94,499.9,1800,939,101.6,0.762,0.107,1,-0.22,2.74,1,0,0.16,111115,0.100000000000001,0.002,0.0500000000000114,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:24:42 plot3-2",35,"\"09:26:05\"",1961.5,0,22.6,0.746,308,4.02,0.67,25.53,6,1.42,1,2.84,24.24,25.53,23.45,399.79,370.93,21.008,25.704,70.25,85.96,499.9,1800,939,101.6,0.762,0.107,1,-0.22,2.74,1,0,0.16,111115,0.100000000000001,0.002,0.0500000000000114,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:27:28 plot3-2",36,"\"09:29:45\"",2182,0,34.8,0.738,1440,4.01,0.676,25.58,6,1.42,1,2.84,24.28,25.58,23.46,1600.4,1551.21,21.044,25.737,70.22,85.88,499.9,1799,954,101.6,-11,0.108,1,-0.22,2.74,1,0,0.16,111115,0,0.002,0.0599999999999454,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:27:28 plot3-2",37,"\"09:29:46\"",2182.5,0,34.8,0.737,1440,4.01,0.676,25.58,6,1.42,1,2.84,24.28,25.58,23.46,1600.42,1551.23,21.045,25.738,70.23,85.89,499.9,1799,954,101.6,-11,0.108,1,-0.22,2.74,1,0,0.16,111115,0,0.002,0.0599999999999454,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:27:28 plot3-2",38,"\"09:29:46\"",2183,0,34.8,0.737,1440,4.01,0.677,25.59,6,1.42,1,2.84,24.28,25.59,23.46,1600.46,1551.25,21.046,25.738,70.23,85.89,499.9,1799,954,101.6,-11,0.108,1,-0.22,2.74,1,0,0.16,111115,0,0.002,0.0599999999999454,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:27:28 plot3-2",39,"\"09:29:47\"",2183.5,0,34.8,0.737,1440,4.01,0.677,25.58,6,1.42,1,2.84,24.28,25.58,23.46,1600.42,1551.2,21.046,25.738,70.23,85.88,499.9,1799,955,101.6,-11,0.108,1,-0.22,2.74,1,0,0.16,111115,0,0.002,0.0599999999999454,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:27:28 plot3-2",40,"\"09:29:47\"",2184,0,34.8,0.736,1440,4.01,0.677,25.59,6,1.42,1,2.84,24.28,25.59,23.46,1600.41,1551.18,21.047,25.737,70.23,85.88,499.9,1799,955,101.6,-11,0.108,1,-0.22,2.74,1,0,0.16,111115,0,0.002,0.0599999999999454,5
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",41,"\"09:36:33\"",2590,0,19.9,0.42,284,3.5,0.944,25.66,6,1.42,1,2.84,24.29,25.66,23.46,399.45,373.98,19.148,23.25,63.84,77.51,499.9,1799,552,101.6,0.541,0.108,1,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",42,"\"09:36:33\"",2590.5,0,19.9,0.42,284,3.5,0.945,25.66,6,1.42,1,2.84,24.29,25.66,23.46,399.45,373.98,19.148,23.249,63.84,77.51,499.9,1799,552,101.6,0.541,0.108,1,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",43,"\"09:36:34\"",2591,0,19.9,0.42,284,3.5,0.945,25.67,6,1.42,1,2.84,24.29,25.67,23.46,399.46,373.98,19.149,23.251,63.84,77.51,499.9,1799,552,101.6,0.541,0.108,1,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",44,"\"09:36:34\"",2591.5,0,20,0.42,283,3.5,0.945,25.67,6,1.42,1,2.84,24.3,25.67,23.46,399.49,373.95,19.149,23.252,63.84,77.51,499.9,1799,552,101.6,0.541,0.108,1,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",45,"\"09:36:35\"",2592,0,20,0.42,283,3.5,0.945,25.66,6,1.42,1,2.84,24.3,25.66,23.46,399.52,373.96,19.149,23.252,63.83,77.51,499.9,1799,553,101.6,0.541,0.108,1,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",46,"\"09:40:27\"",2824,0,36.3,0.359,1350,3.21,0.996,25.69,6,1.42,1,2.84,24.29,25.69,23.46,1599.58,1550.05,19.035,22.801,63.47,76.03,499.9,1800,577,101.6,-11.6,0.0871,0.7,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",47,"\"09:40:27\"",2824.5,0,36.3,0.358,1350,3.21,0.997,25.69,6,1.42,1,2.84,24.29,25.69,23.46,1599.6,1550.05,19.035,22.797,63.47,76.01,499.9,1800,577,101.6,-11.6,0.0871,0.7,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",48,"\"09:40:28\"",2825,0,36.3,0.358,1350,3.21,0.997,25.69,6,1.42,1,2.84,24.29,25.69,23.46,1599.62,1550.03,19.034,22.796,63.47,76.01,499.9,1800,577,101.6,-11.6,0.0871,0.7,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",49,"\"09:40:28\"",2825.5,0,36.3,0.358,1350,3.21,0.997,25.69,6,1.42,1,2.84,24.29,25.69,23.46,1599.62,1550.08,19.034,22.795,63.47,76.01,499.9,1800,577,101.6,-11.6,0.0871,0.7,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:31:34 plot3-5",50,"\"09:40:29\"",2826,0,36.3,0.358,1350,3.2,0.996,25.69,6,1.42,1,2.84,24.29,25.69,23.46,1599.62,1550.13,19.035,22.793,63.47,76,499.9,1800,577,101.6,-11.6,0.0871,0.7,-0.22,2.74,1,0,0.16,111115,16.4,0.062,1200.17,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",51,"\"09:48:11\"",3287.5,0,15.6,0.396,302,4.69,1.34,25.45,6,1.42,1,2.84,22.38,25.45,20.92,400.56,379.74,13.451,18.976,50.33,71.01,499.9,1801,70,101.6,0.0465,0.146,1,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",52,"\"09:48:11\"",3288,0,15.6,0.396,302,4.69,1.34,25.45,6,1.42,1,2.84,22.38,25.45,20.92,400.59,379.74,13.452,18.976,50.34,71.01,499.9,1801,70,101.6,0.0465,0.146,1,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",53,"\"09:48:12\"",3288.5,0,15.6,0.396,302,4.69,1.34,25.45,6,1.42,1,2.84,22.38,25.45,20.92,400.63,379.72,13.452,18.974,50.34,71,499.9,1801,70,101.6,0.0465,0.146,1,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
